Malloa,&0OOOO,O,OO,OO1,3,3,46,11,15,17,11,14,2319,10,4,73O
Marchihue ,O O O O O ,O ,O O ,O O O ,O ,2 ,3 O ,5 ,3 ,1 ,4 ,2 ,5 2 ,2 ,1 ,O O O 
Mostazal ,O O O O O ,O ,O O ,O 3 4 ,6 ,15 ,21 28 ,23 ,25 ,40 ,31 ,18 ,15 14 ,16 ,10 ,17 4 O 
Nancagua ,O O O O O ,O ,O O ,O 1 1 ,11 ,5 ,9 7 ,12 ,8 ,7 ,13 ,10 ,5 3 ,4 ,15 ,6 4 O 
Navidad ,0 O O O O ,O ,O O ,3 O 6 ,2 ,6 ,1 11 ,12 ,9 ,8 ,9 ,3 ,3 1 ,2 ,O ,O O O 
Olivar ,O O O O 1 ,2 ,3 ,1 O O 7 ,4 ,13 ,5 13 ,16 ,28 ,34 ,37 ,18 ,9 15 ,12 ,15 ,10 9 O 
Palmilla ,O O O O O ,O ,O O ,1 O O ,2 ,3 ,1 5 ,7 ,4 ,3 ,2 ,8 ,3 3 ,16 ,4 ,14 3 O 
Paredones ,O O O O O ,O ,O O ,O O O ,2 ,2 ,1 3 ,3 ,1 ,O ,3 ,1 ,4 2 ,7 ,1 ,2 1 O 
Peralillo ,& O O O O O ,O ,O O ,O O O ,2 ,7 ,7 12 ,11 ,1 ,5 ,4 ,2 ,2 3 ,6 ,2 ,5 1 O 
Peumo ,O 0 O 0 1 ,O ,0 0 ,0 2 3 ,2 ,2 ,2 1 ,2 ,5 ,6 ,2 ,14 ,20 5 ,17 ,17 ,12 1 O 
Pichidegua ,& O O O O O ,O ,O O ,O 1 3 ,8 ,3 ,3 7 ,9 ,15 ,25 ,30 ,21 ,16 22 ,53 ,51 ,29 7 O 
Pichilemu ,O O O O O ,O ,O O ,O 2 2 ,4 ,7 ,4 2 ,6 ,6 ,4 ,O ,12 ,4 1 ,O ,1 ,O 1 O 
Placilla ,& 0 0 O O 1 ,O ,O O ,0 O 1 ,4 ,3 ,6 10 ,3 ,2 ,7 ,11 ,6 ,6 3 ,O ,9 ,1 0 O 
Pumanque ,0 O O O O ,O ,0 O ,0 O O ,O ,O ,2 O ,1 ,1 ,O ,O ,0 ,O O ,O ,1 ,O O 0 
Quinta de Tilcoco ,O O O 1 O ,O ,O O ,O O O ,1 ,1 ,4 2 ,10 ,16 ,20 ,15 ,12 ,16 12 ,14 ,5 ,3 O O 
Rancagua ,& 0 O O 9 4 ,7 ,3 9 ,13 27 89 ,177 ,227 ,283 430 ,657 ,1100 ,933 ,698 ,502 ,282 163 ,205 ,232 ,213 45 0 
Rengo ,& O O O 1 3 ,O ,O 4 ,5 3 8 ,19 ,29 ,27 48 ,70 ,122 ,142 ,136 ,186 ,119 82 ,73 ,83 ,42 4 O 
Requinoa ,O O O 2 O ,O ,O O ,2 1 4 ,5 ,13 ,21 16 ,41 ,78 ,60 ,54 ,45 ,24 21 ,27 ,13 ,11 2 O 
San Fernando ,O O O 2 1 ,1 ,O 2 ,O 2 8 ,9 ,23 ,16 22 ,27 ,55 ,60 ,51 ,60 ,57 55 ,68 ,69 ,63 9 O 
San Vicente ,& O O O O 3 ,1 ,O O ,3 3 16 ,27 ,17 ,14 24 ,37 ,58 ,52 ,51 ,55 ,56 48 ,70 ,99 ,41 7 O 
Santa Cruz ,O O O O 1 ,O ,O 1 ,1 O 5 ,4 ,10 ,7 18 ,21 ,15 ,20 ,22 ,24 ,13 21 ,46 ,36 ,33 5 O 
Desconocido ,& 0 O O O O ,O ,2 O ,O O 1 ,1 ,7 ,O 6 ,4 ,9 ,7 ,2 ,11 ,3 6 ,O ,1 ,O 2 O 
Total ,1 0 1 23 18 ,11 ,13 21 ,48 68 225 ,399 ,503 ,559 844 ,1294 ,2090 ,1964 ,1556 ,1316 ,932 687 ,835 ,860 ,717 146 0 
