,SESESESE,SE,SE,SESESESESE,SESE,SE,SESE,SESE,SE,SESE,SE,SE,SESE,SE
Comuna ,9 10 11 12 ,13 ,14 ,15 16 17 18 19 ,20 21 ,22 ,23 24 ,25 26 ,27 ,28 29 ,30 ,31 ,32 33 ,34 
Ancud ,O O O O ,1 ,O ,6 3 1 21 19 ,23 10 ,2 ,4 3 ,1 6 ,O ,2 5 ,3 ,2 ,1 O ,O 
Calbuco ,& O O O 3 ,1 ,1 ,1 1 O O 1 ,O O ,1 ,O 4 ,20 44 ,30 ,41 22 ,22 ,41 ,32 20 ,O 
Castro ,O O 0 2 ,O ,5 ,O O O O 1 ,O O ,O ,O 1 ,O O ,O ,O 1 ,14 ,5 ,1 1 ,0 
Chaiten ,O O O O ,1 ,O ,O O 0 O O ,O O ,O ,O O ,0 O ,1 ,8 1 ,O ,1 ,0 3 ,O 
Chonchi ,O O O O ,O ,O ,O O O O O ,O O ,O ,O O ,O 1 ,O ,O O ,O ,O ,O O ,O 
Cochamo ,O O O O ,O ,O ,1 O O O O ,O O ,O ,O O ,1 6 ,O ,3 7 ,1 ,3 ,O 1 ,O 
Curaco de Velez ,O O O O ,O ,O ,O O O O O ,O O ,O ,O 1 ,O 12 ,2 ,3 O ,O ,O ,O O ,O 
Dalcahue ,O O O O ,O ,O ,O O 0 O 1 ,3 2 ,O ,O 1 ,O O ,O ,O O ,O ,1 ,O O ,O 
Fresia ,O O O O ,O ,O ,O O O O O ,O O ,O ,O 7 ,1 8 ,9 ,3 4 ,14 ,20 ,17 5 ,O 
Frutillar ,& O O O O ,1 ,3 ,2 O O O 1 ,O 3 ,3 ,3 7 ,20 26 ,53 ,18 7 ,15 ,30 ,27 29 ,O 
Futaleufu ,O 0 O O ,O ,O ,O O 0 O 0 ,1 O ,O ,0 0 ,0 O ,O ,0 O ,O ,O ,0 0 ,0 
Hualaihue ,O O O O ,3 ,O ,O O O O O ,O O ,1 ,1 1 ,3 2 ,2 ,1 6 ,O ,O ,1 1 ,O 
Llanquihue ,O O O O ,1 ,O ,O O O O 5 ,O O ,3 ,3 11 ,18 8 ,16 ,6 9 ,36 ,28 ,28 10 ,O 
Los Muermos ,& O O O 1 ,O ,O ,O O 0 O 1 ,O O ,O ,1 1 ,13 7 ,12 ,5 7 ,13 ,9 ,27 4 ,O 
Maullin ,O O O O ,O ,O ,1 O 0 O O ,5 9 ,O ,1 O ,2 3 ,10 ,14 14 ,12 ,23 ,30 13 ,O 
