,SESESESESE,SESESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SESE,SE,SE,SE,SESE,SE
Comuna ,9 10 11 12 13 ,14 15 16 ,17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 28 ,29 ,30 ,31 ,32 33 ,34 
Alto Hospicio ,& O O 0 3 5 ,6 14 24 ,38 113 ,143 ,271 ,320 318 ,262 ,207 ,162 ,177 ,115 107 ,113 ,134 ,166 ,131 35 ,O 
Camina ,O O 0 O O ,O O O ,O O ,O ,O ,3 9 ,4 ,2 ,4 ,7 ,3 6 ,1 ,2 ,1 ,4 4 ,O 
Colchane ,O O O O O ,O O O ,O O ,O ,O ,2 1 ,10 ,17 ,15 ,15 ,12 6 ,3 ,10 ,1 ,1 O ,O 
Huara ,O O O 0 O ,O O O ,2 8 ,2 ,10 ,7 7 ,10 ,6 ,9 ,12 ,16 21 ,15 ,8 ,3 ,4 5 ,O 
Iquique ,& O O O 9 7 ,15 12 22 ,42 104 ,259 ,403 ,505 463 ,445 ,464 ,424 ,351 ,341 286 ,278 ,357 ,302 ,253 51 ,O 
Pica ,& 0 O O O 1 ,7 14 11 ,O 1 ,5 ,1 ,7 8 ,10 ,10 ,10 ,14 ,42 38 ,24 ,24 ,31 ,31 5 ,O 
Pozo Almonte ,& O O O O 1 ,2 O O ,O 3 ,5 ,15 ,38 58 ,91 ,106 ,62 ,36 ,75 56 ,47 ,43 ,128 ,53 10 ,0 
Desconocido ,& 0 0 O 0 0 ,0 1 O ,1 5 ,95 ,29 ,25 25 ,31 ,26 ,20 ,22 ,16 20 ,33 ,35 ,14 ,18 4 ,O 
Total ,0 0 0 12 14 ,30 41 57 ,83 234 ,509 ,729 ,907 889 ,863 ,838 ,706 ,634 ,620 540 ,514 ,613 ,646 ,495 114 ,0 
